feature_space,author,title,predicted_top1,predicted_top2,predicted_top3,top1_correct,top3_correct,top3_scores
tfidf_word,이광수,윤광호,이광수,강경애,나도향,True,True,이광수:0.0646; 강경애:0.0503; 나도향:0.0489
tfidf_word,김동인,감자,김동인,강경애,나도향,True,True,김동인:0.0524; 강경애:0.0417; 나도향:0.0407
tfidf_word,김동인,광염_소나타,백신애,나도향,김동인,False,True,백신애:0.0597; 나도향:0.0569; 김동인:0.0561
tfidf_word,김동인,배따라기,김동인,강경애,나도향,True,True,김동인:0.0647; 강경애:0.0545; 나도향:0.0523
tfidf_word,김동인,붉은_산,김동인,강경애,나도향,True,True,김동인:0.0426; 강경애:0.0354; 나도향:0.0350
tfidf_word,김동인,약한_자의_슬픔,강경애,이광수,나도향,False,False,강경애:0.0809; 이광수:0.0699; 나도향:0.0689
tfidf_word,나도향,물레방아,나도향,강경애,이광수,True,True,나도향:0.0736; 강경애:0.0629; 이광수:0.0574
tfidf_word,나도향,벙어리_삼룡이,나도향,강경애,이광수,True,True,나도향:0.0726; 강경애:0.0637; 이광수:0.0613
tfidf_word,나도향,뽕,나도향,이광수,강경애,True,True,나도향:0.0620; 이광수:0.0578; 강경애:0.0549
tfidf_word,나도향,옛날_꿈은_창백하더이다,나도향,강경애,백신애,True,True,나도향:0.0621; 강경애:0.0593; 백신애:0.0570
tfidf_word,나도향,피묻은_편지_몇_쪽,나도향,백신애,이광수,True,True,나도향:0.0650; 백신애:0.0612; 이광수:0.0597
tfidf_word,심훈,봄은_왔건만,심훈,강경애,나도향,True,True,심훈:0.0519; 강경애:0.0335; 나도향:0.0301
tfidf_word,심훈,상록수,강경애,심훈,채만식,False,True,강경애:0.0772; 심훈:0.0751; 채만식:0.0695
tfidf_word,심훈,신혼여행,심훈,강경애,이광수,True,True,심훈:0.0531; 강경애:0.0368; 이광수:0.0313
tfidf_word,심훈,영원의_미소,심훈,강경애,이광수,True,True,심훈:0.0793; 강경애:0.0782; 이광수:0.0739
tfidf_word,심훈,황공의_최후,심훈,강경애,나도향,True,True,심훈:0.0610; 강경애:0.0569; 나도향:0.0553
tfidf_word,최서해,기아와_살육,최서해,강경애,나도향,True,True,최서해:0.0721; 강경애:0.0591; 나도향:0.0541
tfidf_word,최서해,누이동생을_따라,강경애,나도향,백신애,False,False,강경애:0.0640; 나도향:0.0625; 백신애:0.0551
tfidf_word,최서해,박돌의_죽음,최서해,강경애,나도향,True,True,최서해:0.0650; 강경애:0.0530; 나도향:0.0454
tfidf_word,최서해,탈출기,이상,나도향,강경애,False,False,이상:0.0502; 나도향:0.0502; 강경애:0.0491
tfidf_word,최서해,홍염,최서해,강경애,나도향,True,True,최서해:0.0639; 강경애:0.0563; 나도향:0.0497
tfidf_word,강경애,검둥이,강경애,조명희,심훈,True,True,강경애:0.0590; 조명희:0.0417; 심훈:0.0410
tfidf_word,강경애,소금,강경애,백신애,최서해,True,True,강경애:0.1169; 백신애:0.0769; 최서해:0.0762
tfidf_word,강경애,어머니와_딸,강경애,백신애,이광수,True,True,강경애:0.1142; 백신애:0.0849; 이광수:0.0783
tfidf_word,강경애,원고료_이백원,강경애,백신애,나도향,True,True,강경애:0.0586; 백신애:0.0478; 나도향:0.0450
tfidf_word,강경애,인간문제,강경애,백신애,나도향,True,True,강경애:0.1189; 백신애:0.0732; 나도향:0.0709
tfidf_word,계용묵,거울,계용묵,강경애,나도향,True,True,계용묵:0.0453; 강경애:0.0388; 나도향:0.0373
tfidf_word,계용묵,백치_아다다,계용묵,강경애,나도향,True,True,계용묵:0.0649; 강경애:0.0588; 나도향:0.0544
tfidf_word,계용묵,별을_헨다,이무영,계용묵,강경애,False,True,이무영:0.0418; 계용묵:0.0408; 강경애:0.0403
tfidf_word,계용묵,연애삽화,강경애,이상,나도향,False,False,강경애:0.0683; 이상:0.0651; 나도향:0.0616
tfidf_word,계용묵,제비를_그리는_마음,계용묵,강경애,나도향,True,True,계용묵:0.0545; 강경애:0.0501; 나도향:0.0451
tfidf_word,백신애,광인수기,백신애,강경애,나도향,True,True,백신애:0.0711; 강경애:0.0589; 나도향:0.0533
tfidf_word,백신애,꺼래이,백신애,강경애,조명희,True,True,백신애:0.0659; 강경애:0.0584; 조명희:0.0522
tfidf_word,백신애,나의_어머니,강경애,백신애,나도향,False,True,강경애:0.0567; 백신애:0.0537; 나도향:0.0530
tfidf_word,백신애,아름다운_노을,백신애,강경애,이상,True,True,백신애:0.0871; 강경애:0.0833; 이상:0.0700
tfidf_word,백신애,적빈,강경애,나도향,백신애,False,True,강경애:0.0581; 나도향:0.0562; 백신애:0.0544
tfidf_word,조명희,낙동강,조명희,강경애,김동인,True,True,조명희:0.0629; 강경애:0.0499; 김동인:0.0495
tfidf_word,조명희,농촌_사람들,조명희,강경애,나도향,True,True,조명희:0.0740; 강경애:0.0604; 나도향:0.0589
tfidf_word,조명희,땅_속으로,조명희,강경애,나도향,True,True,조명희:0.0849; 강경애:0.0804; 나도향:0.0723
tfidf_word,조명희,아들의_마음,조명희,강경애,나도향,True,True,조명희:0.0562; 강경애:0.0481; 나도향:0.0446
tfidf_word,조명희,저기압,조명희,강경애,나도향,True,True,조명희:0.0548; 강경애:0.0434; 나도향:0.0402
tfidf_word,이무영,기차와_박노인,이무영,채만식,백신애,True,True,이무영:0.0594; 채만식:0.0471; 백신애:0.0427
tfidf_word,이무영,나랏님_전_상사리,이무영,채만식,김유정,True,True,이무영:0.0476; 채만식:0.0408; 김유정:0.0339
tfidf_word,이무영,농부전초,이무영,강경애,채만식,True,True,이무영:0.0770; 강경애:0.0533; 채만식:0.0516
tfidf_word,이무영,죄와_벌,이무영,강경애,이상,True,True,이무영:0.0682; 강경애:0.0608; 이상:0.0600
tfidf_word,이무영,흙의_노예,이무영,강경애,채만식,True,True,이무영:0.0848; 강경애:0.0785; 채만식:0.0704
tfidf_char,김유정,금_따는_콩밭,김유정,강경애,심훈,True,True,김유정:0.1303; 강경애:0.1110; 심훈:0.1045
tfidf_char,김유정,동백꽃,김유정,나도향,강경애,True,True,김유정:0.1642; 나도향:0.1305; 강경애:0.1244
tfidf_char,김유정,땡볕,김유정,강경애,나도향,True,True,김유정:0.1322; 강경애:0.1243; 나도향:0.1218
tfidf_char,김유정,만무방,강경애,김유정,심훈,False,True,강경애:0.1930; 김유정:0.1864; 심훈:0.1761
tfidf_char,김유정,봄봄,김유정,이무영,강경애,True,True,김유정:0.1780; 이무영:0.1454; 강경애:0.1412
tfidf_char,이상,12월_12일,강경애,이광수,나도향,False,False,강경애:0.2250; 이광수:0.2216; 나도향:0.2156
tfidf_char,이상,권태,이상,강경애,나도향,True,True,이상:0.1626; 강경애:0.1312; 나도향:0.1291
tfidf_char,이상,날개,이상,강경애,이효석,True,True,이상:0.2056; 강경애:0.1861; 이효석:0.1737
tfidf_char,이상,실화,이상,강경애,백신애,True,True,이상:0.1355; 강경애:0.1156; 백신애:0.1153
tfidf_char,이상,종생기,이상,이광수,강경애,True,True,이상:0.1706; 이광수:0.1338; 강경애:0.1326
tfidf_char,이효석,개살구,이효석,강경애,나도향,True,True,이효석:0.1961; 강경애:0.1696; 나도향:0.1621
tfidf_char,이효석,도시와_유령,강경애,나도향,이효석,False,True,강경애:0.1569; 나도향:0.1487; 이효석:0.1487
tfidf_char,이효석,모밀꽃_필_무렵,이효석,강경애,백신애,True,True,이효석:0.1417; 강경애:0.1273; 백신애:0.1228
tfidf_char,이효석,산협,이효석,강경애,이무영,True,True,이효석:0.2068; 강경애:0.1806; 이무영:0.1753
tfidf_char,이효석,하얼빈,이효석,이상,강경애,True,True,이효석:0.1492; 이상:0.1440; 강경애:0.1317
tfidf_char,현진건,B사감과_러브레터,현진건,나도향,강경애,True,True,현진건:0.1266; 나도향:0.1234; 강경애:0.1234
tfidf_char,현진건,고향,현진건,김동인,최서해,True,True,현진건:0.1182; 김동인:0.1181; 최서해:0.1155
tfidf_char,현진건,빈처,나도향,강경애,이광수,False,False,나도향:0.1875; 강경애:0.1831; 이광수:0.1715
tfidf_char,현진건,운수_좋은_날,강경애,나도향,현진건,False,True,강경애:0.1514; 나도향:0.1483; 현진건:0.1447
tfidf_char,현진건,할머니의_죽음,현진건,나도향,백신애,True,True,현진건:0.1563; 나도향:0.1510; 백신애:0.1447
tfidf_char,채만식,레디메이드_인생,강경애,심훈,이광수,False,False,강경애:0.1937; 심훈:0.1770; 이광수:0.1764
tfidf_char,채만식,미스터_방,채만식,이무영,김동인,True,True,채만식:0.1535; 이무영:0.1327; 김동인:0.1229
tfidf_char,채만식,치숙,채만식,이무영,백신애,True,True,채만식:0.1652; 이무영:0.1506; 백신애:0.1359
tfidf_char,채만식,태평천하,채만식,이무영,강경애,True,True,채만식:0.2190; 이무영:0.1929; 강경애:0.1840
tfidf_char,채만식,허생전,채만식,이광수,이무영,True,True,채만식:0.2102; 이광수:0.1994; 이무영:0.1917
tfidf_char,이광수,가실,이광수,나도향,강경애,True,True,이광수:0.1978; 나도향:0.1822; 강경애:0.1734
tfidf_char,이광수,단종애사,이광수,강경애,채만식,True,True,이광수:0.1960; 강경애:0.1895; 채만식:0.1881
tfidf_char,이광수,무명,나도향,이광수,강경애,False,True,나도향:0.2100; 이광수:0.2072; 강경애:0.1994
tfidf_char,이광수,소년의_비애,이광수,나도향,강경애,True,True,이광수:0.1840; 나도향:0.1455; 강경애:0.1343
tfidf_char,이광수,윤광호,이광수,나도향,강경애,True,True,이광수:0.1808; 나도향:0.1509; 강경애:0.1457
tfidf_char,김동인,감자,김동인,나도향,강경애,True,True,김동인:0.1494; 나도향:0.1237; 강경애:0.1189
tfidf_char,김동인,광염_소나타,백신애,나도향,김동인,False,True,백신애:0.1727; 나도향:0.1704; 김동인:0.1704
tfidf_char,김동인,배따라기,김동인,나도향,강경애,True,True,김동인:0.1814; 나도향:0.1599; 강경애:0.1543
tfidf_char,김동인,붉은_산,김동인,나도향,강경애,True,True,김동인:0.1141; 나도향:0.1018; 강경애:0.1001
tfidf_char,김동인,약한_자의_슬픔,강경애,나도향,이광수,False,False,강경애:0.2169; 나도향:0.2013; 이광수:0.1924
tfidf_char,나도향,물레방아,나도향,강경애,최서해,True,True,나도향:0.2099; 강경애:0.1786; 최서해:0.1691
tfidf_char,나도향,벙어리_삼룡이,나도향,강경애,이광수,True,True,나도향:0.2041; 강경애:0.1737; 이광수:0.1730
tfidf_char,나도향,뽕,나도향,이광수,강경애,True,True,나도향:0.1812; 이광수:0.1799; 강경애:0.1574
tfidf_char,나도향,옛날_꿈은_창백하더이다,나도향,강경애,백신애,True,True,나도향:0.1823; 강경애:0.1779; 백신애:0.1751
tfidf_char,나도향,피묻은_편지_몇_쪽,이광수,나도향,백신애,False,True,이광수:0.1946; 나도향:0.1927; 백신애:0.1796
tfidf_char,심훈,봄은_왔건만,심훈,강경애,백신애,True,True,심훈:0.1782; 강경애:0.1260; 백신애:0.1205
tfidf_char,심훈,상록수,심훈,강경애,채만식,True,True,심훈:0.2303; 강경애:0.2268; 채만식:0.2193
tfidf_char,심훈,신혼여행,심훈,강경애,백신애,True,True,심훈:0.1765; 강경애:0.1287; 백신애:0.1154
tfidf_char,심훈,영원의_미소,심훈,강경애,이광수,True,True,심훈:0.2319; 강경애:0.2255; 이광수:0.2246
tfidf_char,심훈,황공의_최후,심훈,강경애,나도향,True,True,심훈:0.1850; 강경애:0.1739; 나도향:0.1648
tfidf_char,최서해,기아와_살육,최서해,강경애,나도향,True,True,최서해:0.1926; 강경애:0.1647; 나도향:0.1618
tfidf_char,최서해,누이동생을_따라,나도향,강경애,백신애,False,False,나도향:0.1886; 강경애:0.1816; 백신애:0.1754
tfidf_char,최서해,박돌의_죽음,최서해,강경애,나도향,True,True,최서해:0.1753; 강경애:0.1437; 나도향:0.1393
tfidf_char,최서해,탈출기,나도향,강경애,이상,False,False,나도향:0.1490; 강경애:0.1465; 이상:0.1436
tfidf_char,최서해,홍염,최서해,강경애,심훈,True,True,최서해:0.1728; 강경애:0.1632; 심훈:0.1486
tfidf_char,강경애,검둥이,강경애,심훈,백신애,True,True,강경애:0.1667; 심훈:0.1354; 백신애:0.1305
tfidf_char,강경애,소금,강경애,백신애,나도향,True,True,강경애:0.2783; 백신애:0.2156; 나도향:0.2111
tfidf_char,강경애,어머니와_딸,강경애,백신애,심훈,True,True,강경애:0.2947; 백신애:0.2530; 심훈:0.2418
tfidf_char,강경애,원고료_이백원,강경애,백신애,나도향,True,True,강경애:0.1612; 백신애:0.1371; 나도향:0.1355
tfidf_char,강경애,인간문제,강경애,백신애,심훈,True,True,강경애:0.2905; 백신애:0.2219; 심훈:0.2145
tfidf_char,계용묵,거울,계용묵,강경애,나도향,True,True,계용묵:0.1315; 강경애:0.1162; 나도향:0.1158
tfidf_char,계용묵,백치_아다다,계용묵,강경애,나도향,True,True,계용묵:0.1786; 강경애:0.1701; 나도향:0.1645
tfidf_char,계용묵,별을_헨다,이무영,계용묵,강경애,False,True,이무영:0.1293; 계용묵:0.1288; 강경애:0.1276
tfidf_char,계용묵,연애삽화,강경애,이상,나도향,False,False,강경애:0.1872; 이상:0.1777; 나도향:0.1727
tfidf_char,계용묵,제비를_그리는_마음,계용묵,강경애,나도향,True,True,계용묵:0.1454; 강경애:0.1355; 나도향:0.1314
tfidf_char,백신애,광인수기,백신애,강경애,채만식,True,True,백신애:0.2140; 강경애:0.1898; 채만식:0.1744
tfidf_char,백신애,꺼래이,백신애,강경애,조명희,True,True,백신애:0.1886; 강경애:0.1731; 조명희:0.1529
tfidf_char,백신애,나의_어머니,백신애,강경애,나도향,True,True,백신애:0.1704; 강경애:0.1658; 나도향:0.1537
tfidf_char,백신애,아름다운_노을,백신애,강경애,이상,True,True,백신애:0.2462; 강경애:0.2383; 이상:0.2054
tfidf_char,백신애,적빈,나도향,강경애,백신애,False,True,나도향:0.1613; 강경애:0.1547; 백신애:0.1530
tfidf_char,조명희,낙동강,조명희,김동인,나도향,True,True,조명희:0.1657; 김동인:0.1485; 나도향:0.1467
tfidf_char,조명희,농촌_사람들,조명희,강경애,나도향,True,True,조명희:0.1971; 강경애:0.1749; 나도향:0.1700
tfidf_char,조명희,땅_속으로,강경애,조명희,나도향,False,True,강경애:0.2290; 조명희:0.2227; 나도향:0.2111
tfidf_char,조명희,아들의_마음,조명희,강경애,나도향,True,True,조명희:0.1465; 강경애:0.1313; 나도향:0.1296
tfidf_char,조명희,저기압,조명희,강경애,백신애,True,True,조명희:0.1528; 강경애:0.1292; 백신애:0.1205
tfidf_char,이무영,기차와_박노인,이무영,채만식,백신애,True,True,이무영:0.1793; 채만식:0.1534; 백신애:0.1402
tfidf_char,이무영,나랏님_전_상사리,이무영,채만식,백신애,True,True,이무영:0.1467; 채만식:0.1255; 백신애:0.1030
tfidf_char,이무영,농부전초,이무영,채만식,강경애,True,True,이무영:0.2094; 채만식:0.1641; 강경애:0.1570
tfidf_char,이무영,죄와_벌,이무영,강경애,채만식,True,True,이무영:0.1951; 강경애:0.1867; 채만식:0.1843
tfidf_char,이무영,흙의_노예,이무영,강경애,채만식,True,True,이무영:0.2346; 강경애:0.2261; 채만식:0.2203
style,김유정,금_따는_콩밭,이무영,이효석,강경애,False,False,이무영:0.4473; 이효석:0.3310; 강경애:0.2592
style,김유정,동백꽃,김유정,심훈,이효석,True,True,김유정:0.6417; 심훈:0.4318; 이효석:0.3732
style,김유정,땡볕,심훈,이광수,계용묵,False,False,심훈:0.4233; 이광수:0.3339; 계용묵:0.3099
style,김유정,만무방,강경애,이무영,김유정,False,True,강경애:0.3967; 이무영:0.3654; 김유정:0.2729
style,김유정,봄봄,김유정,이광수,이효석,True,True,김유정:0.6109; 이광수:0.2593; 이효석:0.2035
style,이상,12월_12일,계용묵,나도향,이광수,False,False,계용묵:0.4231; 나도향:0.3924; 이광수:0.3374
style,이상,권태,강경애,이무영,이상,False,True,강경애:0.4152; 이무영:0.4017; 이상:0.2618
style,이상,날개,이상,강경애,김유정,True,True,이상:0.5821; 강경애:0.2707; 김유정:0.0685
style,이상,실화,김동인,백신애,이무영,False,False,김동인:0.4129; 백신애:0.3991; 이무영:0.3760
style,이상,종생기,계용묵,이상,나도향,False,True,계용묵:0.3191; 이상:0.2514; 나도향:0.1715
style,이효석,개살구,심훈,이효석,김유정,False,True,심훈:0.5152; 이효석:0.4717; 김유정:0.3514
style,이효석,도시와_유령,강경애,이상,이무영,False,False,강경애:0.5065; 이상:0.3947; 이무영:0.3611
style,이효석,모밀꽃_필_무렵,최서해,강경애,현진건,False,False,최서해:0.4381; 강경애:0.4232; 현진건:0.4102
style,이효석,산협,이효석,심훈,김유정,True,True,이효석:0.4070; 심훈:0.3953; 김유정:0.3780
style,이효석,하얼빈,이효석,심훈,김유정,True,True,이효석:0.4763; 심훈:0.3961; 김유정:0.2522
style,현진건,B사감과_러브레터,나도향,계용묵,심훈,False,False,나도향:0.3869; 계용묵:0.3830; 심훈:0.2673
style,현진건,고향,현진건,나도향,심훈,True,True,현진건:0.3880; 나도향:0.3115; 심훈:0.1549
style,현진건,빈처,백신애,나도향,최서해,False,False,백신애:0.2623; 나도향:0.2595; 최서해:0.2471
style,현진건,운수_좋은_날,현진건,조명희,김유정,True,True,현진건:0.2441; 조명희:0.1462; 김유정:0.1389
style,현진건,할머니의_죽음,김동인,최서해,백신애,False,False,김동인:0.5388; 최서해:0.4313; 백신애:0.3498
style,채만식,레디메이드_인생,이무영,백신애,조명희,False,False,이무영:0.3662; 백신애:0.3272; 조명희:0.3169
style,채만식,미스터_방,채만식,이광수,김동인,True,True,채만식:0.4651; 이광수:0.3849; 김동인:0.2620
style,채만식,치숙,채만식,조명희,이무영,True,True,채만식:0.4713; 조명희:0.2411; 이무영:0.2220
style,채만식,태평천하,채만식,조명희,백신애,True,True,채만식:0.5885; 조명희:0.3581; 백신애:0.2535
style,채만식,허생전,채만식,이광수,조명희,True,True,채만식:0.5178; 이광수:0.4600; 조명희:0.1541
style,이광수,가실,이광수,김유정,이효석,True,True,이광수:0.3184; 김유정:0.2619; 이효석:0.2228
style,이광수,단종애사,이광수,김유정,김동인,True,True,이광수:0.6231; 김유정:0.2816; 김동인:0.2063
style,이광수,무명,이광수,채만식,김동인,True,True,이광수:0.3182; 채만식:0.3138; 김동인:0.1901
style,이광수,소년의_비애,이효석,이광수,김유정,False,True,이효석:0.5163; 이광수:0.4853; 김유정:0.4802
style,이광수,윤광호,이광수,나도향,계용묵,True,True,이광수:0.4239; 나도향:0.2865; 계용묵:0.1854
style,김동인,감자,이무영,채만식,김동인,False,True,이무영:0.4439; 채만식:0.3986; 김동인:0.3437
style,김동인,광염_소나타,이광수,채만식,나도향,False,False,이광수:0.6231; 채만식:0.3468; 나도향:0.2211
style,김동인,배따라기,김동인,채만식,나도향,True,True,김동인:0.2307; 채만식:0.2255; 나도향:0.2101
style,김동인,붉은_산,최서해,김동인,이상,False,True,최서해:0.2806; 김동인:0.2065; 이상:0.1134
style,김동인,약한_자의_슬픔,백신애,김동인,최서해,False,True,백신애:0.4340; 김동인:0.2855; 최서해:0.2772
style,나도향,물레방아,최서해,현진건,김동인,False,False,최서해:0.6126; 현진건:0.5018; 김동인:0.4147
style,나도향,벙어리_삼룡이,이효석,계용묵,이광수,False,False,이효석:0.5388; 계용묵:0.4284; 이광수:0.2870
style,나도향,뽕,김동인,이무영,채만식,False,False,김동인:0.4699; 이무영:0.4020; 채만식:0.3428
style,나도향,옛날_꿈은_창백하더이다,계용묵,이상,심훈,False,False,계용묵:0.3469; 이상:0.3378; 심훈:0.1954
style,나도향,피묻은_편지_몇_쪽,계용묵,이광수,나도향,False,True,계용묵:0.4506; 이광수:0.3146; 나도향:0.2868
style,심훈,봄은_왔건만,심훈,이효석,현진건,True,True,심훈:0.6289; 이효석:0.2535; 현진건:0.1834
style,심훈,상록수,심훈,이효석,김유정,True,True,심훈:0.3783; 이효석:0.3532; 김유정:0.3345
style,심훈,신혼여행,심훈,이효석,김유정,True,True,심훈:0.7788; 이효석:0.4348; 김유정:0.1984
style,심훈,영원의_미소,이효석,강경애,심훈,False,True,이효석:0.4040; 강경애:0.3837; 심훈:0.3022
style,심훈,황공의_최후,이효석,심훈,김유정,False,True,이효석:0.5762; 심훈:0.4794; 김유정:0.3812
style,최서해,기아와_살육,최서해,현진건,김동인,True,True,최서해:0.7668; 현진건:0.4025; 김동인:0.3725
style,최서해,누이동생을_따라,강경애,최서해,조명희,False,True,강경애:0.5810; 최서해:0.5005; 조명희:0.3392
style,최서해,박돌의_죽음,최서해,강경애,현진건,True,True,최서해:0.7331; 강경애:0.3778; 현진건:0.2716
style,최서해,탈출기,이상,강경애,이무영,False,False,이상:0.6023; 강경애:0.2824; 이무영:0.1419
style,최서해,홍염,최서해,백신애,강경애,True,True,최서해:0.6298; 백신애:0.3650; 강경애:0.1903
style,강경애,검둥이,심훈,이효석,김유정,False,False,심훈:0.6720; 이효석:0.5491; 김유정:0.2537
style,강경애,소금,강경애,이효석,최서해,True,True,강경애:0.5814; 이효석:0.3643; 최서해:0.2807
style,강경애,어머니와_딸,최서해,김동인,백신애,False,False,최서해:0.5832; 김동인:0.4892; 백신애:0.3163
style,강경애,원고료_이백원,이상,김유정,이무영,False,False,이상:0.6299; 김유정:0.1692; 이무영:0.1354
style,강경애,인간문제,최서해,김동인,백신애,False,False,최서해:0.5990; 김동인:0.5441; 백신애:0.3714
style,계용묵,거울,계용묵,나도향,채만식,True,True,계용묵:0.7138; 나도향:0.3241; 채만식:0.0989
style,계용묵,백치_아다다,계용묵,채만식,나도향,True,True,계용묵:0.5354; 채만식:0.4913; 나도향:0.3509
style,계용묵,별을_헨다,이무영,현진건,강경애,False,False,이무영:0.3962; 현진건:0.2876; 강경애:0.2662
style,계용묵,연애삽화,계용묵,나도향,이광수,True,True,계용묵:0.6137; 나도향:0.5081; 이광수:0.3363
style,계용묵,제비를_그리는_마음,계용묵,이효석,심훈,True,True,계용묵:0.7283; 이효석:0.4034; 심훈:0.2425
style,백신애,광인수기,김동인,백신애,강경애,False,True,김동인:0.4795; 백신애:0.3414; 강경애:0.3161
style,백신애,꺼래이,심훈,이효석,강경애,False,False,심훈:0.3055; 이효석:0.2653; 강경애:0.2278
style,백신애,나의_어머니,나도향,현진건,이상,False,False,나도향:0.5727; 현진건:0.3399; 이상:0.2953
style,백신애,아름다운_노을,최서해,나도향,강경애,False,False,최서해:0.3429; 나도향:0.2839; 강경애:0.2612
style,백신애,적빈,심훈,계용묵,이효석,False,False,심훈:0.3659; 계용묵:0.3202; 이효석:0.2834
style,조명희,낙동강,채만식,조명희,이무영,False,True,채만식:0.4477; 조명희:0.2814; 이무영:0.2125
style,조명희,농촌_사람들,채만식,조명희,계용묵,False,True,채만식:0.5188; 조명희:0.3967; 계용묵:0.3210
style,조명희,땅_속으로,최서해,강경애,김동인,False,False,최서해:0.5683; 강경애:0.4789; 김동인:0.4240
style,조명희,아들의_마음,조명희,계용묵,백신애,True,True,조명희:0.3702; 계용묵:0.2363; 백신애:0.2088
style,조명희,저기압,조명희,최서해,김동인,True,True,조명희:0.4372; 최서해:0.4317; 김동인:0.1483
style,이무영,기차와_박노인,최서해,이무영,김유정,False,True,최서해:0.4575; 이무영:0.2638; 김유정:0.1201
style,이무영,나랏님_전_상사리,채만식,조명희,김동인,False,False,채만식:0.4385; 조명희:0.2003; 김동인:0.1986
style,이무영,농부전초,이무영,강경애,이상,True,True,이무영:0.6713; 강경애:0.3754; 이상:0.3137
style,이무영,죄와_벌,김동인,이무영,이상,False,True,김동인:0.4990; 이무영:0.4195; 이상:0.3532
style,이무영,흙의_노예,이무영,김유정,이광수,True,True,이무영:0.4263; 김유정:0.2740; 이광수:0.2612
combined_50_50,김유정,금_따는_콩밭,이무영,김유정,이효석,False,True,이무영:0.3456; 김유정:0.2713; 이효석:0.2450
combined_50_50,김유정,동백꽃,김유정,심훈,현진건,True,True,김유정:0.6157; 심훈:0.3486; 현진건:0.1813
combined_50_50,김유정,땡볕,심훈,이광수,계용묵,False,False,심훈:0.2448; 이광수:0.2382; 계용묵:0.2091
combined_50_50,김유정,만무방,김유정,이무영,강경애,True,True,김유정:0.4122; 이무영:0.2938; 강경애:0.2664
